"Rk","Player","X2015.16","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
1,"Kobe Bryant",2.5e+07,37,"LAL","NBA","SF",66,66,1863,398,1113,0.358,133,467,0.285,265,646,0.41,0.417,232,281,0.826,41,206,247,184,62,13,129,115,1161
2,"Joe Johnson",24894863,34,"MIA","NBA","SF",24,24,769,130,251,0.518,35,84,0.417,95,167,0.569,0.588,26,34,0.765,15,53,68,86,21,2,43,46,321
3,"LeBron James",22971000,31,"CLE","NBA","SF",76,76,2709,737,1416,0.52,87,282,0.309,650,1134,0.573,0.551,359,491,0.731,111,454,565,514,104,49,249,143,1920
4,"Carmelo Anthony",22875000,31,"NYK","NBA","SF",72,72,2530,567,1307,0.434,105,310,0.339,462,997,0.463,0.474,334,403,0.829,98,458,556,299,62,38,176,180,1573
8,"Kevin Durant",20158622,27,"OKC","NBA","SF",72,72,2578,698,1381,0.505,186,480,0.388,512,901,0.568,0.573,447,498,0.898,45,544,589,361,69,85,250,137,2029
18,"Paul George",17120106,25,"IND","NBA","SF",81,81,2819,605,1448,0.418,210,565,0.372,395,883,0.447,0.49,454,528,0.86,79,484,563,329,152,29,265,230,1874
20,"Kawhi Leonard",16500000,24,"SAS","NBA","SF",72,72,2380,551,1090,0.506,129,291,0.443,422,799,0.528,0.565,292,334,0.874,95,398,493,186,128,71,105,133,1523
31,"Gordon Hayward",15409570,25,"UTA","NBA","SF",80,80,2893,521,1202,0.433,143,410,0.349,378,792,0.477,0.493,393,477,0.824,61,336,397,296,95,27,202,183,1578
32,"Chandler Parsons",15361500,27,"DAL","NBA","SF",61,51,1799,320,651,0.492,104,250,0.416,216,401,0.539,0.571,93,136,0.684,29,256,285,169,46,21,95,114,837
41,"Danilo Gallinari",1.4e+07,27,"DEN","NBA","SF",53,53,1839,287,700,0.41,87,239,0.364,200,461,0.434,0.472,375,432,0.868,51,230,281,135,42,19,77,87,1036
43,"DeMarre Carroll",13500000,29,"TOR","NBA","SF",26,22,786,105,270,0.389,46,118,0.39,59,152,0.388,0.474,30,50,0.6,31,91,122,27,44,6,28,63,286
51,"Rudy Gay",12403101,29,"SAC","NBA","SF",70,70,2379,466,1007,0.463,74,215,0.344,392,792,0.495,0.5,198,254,0.78,103,353,456,120,100,51,139,184,1204
54,"Nicolas Batum",12235750,27,"CHO","NBA","SF",70,70,2448,372,873,0.426,139,399,0.348,233,474,0.492,0.506,163,192,0.849,55,373,428,403,65,43,205,114,1046
64,"Andre Iguodala",11710456,32,"GSW","NBA","SF",65,1,1732,176,368,0.478,54,154,0.351,122,214,0.57,0.552,51,83,0.614,52,211,263,219,73,19,79,102,457
73,"Wilson Chandler",10500000,27,"DEN","NBA","SF",78,75,2471,418,975,0.429,139,406,0.342,279,569,0.49,0.5,110,142,0.775,96,379,475,134,58,29,110,231,1085
76,"Gerald Wallace",10105855,32,"BOS","NBA","SF",32,0,286,14,34,0.412,1,3,0.333,13,31,0.419,0.426,6,15,0.4,17,40,57,11,15,4,18,19,35
84,"Jeff Green",9200000,29,"LAC","NBA","SF",27,10,709,114,267,0.427,25,77,0.325,89,190,0.468,0.474,40,65,0.615,19,72,91,40,18,21,24,62,293
85,"Lance Stephenson",9e+06,25,"MEM","NBA","SF",26,3,692,146,308,0.474,11,31,0.355,135,277,0.487,0.492,66,81,0.815,21,94,115,73,19,6,46,56,369
93,"Corey Brewer",8200000,29,"HOU","NBA","SF",82,12,1669,212,552,0.384,61,224,0.272,151,328,0.46,0.439,105,140,0.75,42,157,199,109,84,19,78,168,590
94,"Trevor Ariza",8193030,30,"HOU","NBA","SF",81,81,2859,357,859,0.416,185,499,0.371,172,360,0.478,0.523,126,161,0.783,67,299,366,188,160,26,113,177,1025
104,"Al-Farouq Aminu",7500000,25,"POR","NBA","SF",82,82,2341,299,719,0.416,126,349,0.361,173,370,0.468,0.503,115,156,0.737,98,401,499,138,72,53,120,171,839
123,"Michael Kidd-Gilchrist",6331404,22,"CHO","NBA","SF",7,7,205,33,61,0.541,3,7,0.429,30,54,0.556,0.566,20,29,0.69,12,33,45,9,3,3,8,9,89
128,"Jae Crowder",6e+06,25,"BOS","NBA","SF",73,73,2308,360,813,0.443,122,363,0.336,238,450,0.529,0.518,196,239,0.82,70,303,373,135,126,35,83,198,1038
129,"Andrew Wiggins",5758680,20,"MIN","NBA","SF",81,81,2845,594,1294,0.459,57,190,0.3,537,1104,0.486,0.481,430,565,0.761,107,186,293,164,78,46,182,165,1675
135,"Martell Webster",5613500,28,"WAS","NBA","SF",32,0,352,24,91,0.264,10,43,0.233,14,48,0.292,0.319,48,64,0.75,10,36,46,17,7,1,22,24,106
141,"P.J. Tucker",5500000,30,"PHO","NBA","SF",82,80,2540,239,582,0.411,68,206,0.33,171,376,0.455,0.469,106,142,0.746,165,347,512,177,106,20,111,202,652
158,"Kyle Singler",5e+06,27,"OKC","NBA","SF",68,2,977,86,221,0.389,30,97,0.309,56,124,0.452,0.457,29,44,0.659,50,91,141,24,30,9,32,120,231
160,"Chase Budinger",5e+06,27,"PHO","NBA","SF",17,0,200,23,45,0.511,4,17,0.235,19,28,0.679,0.556,5,8,0.625,12,17,29,15,3,1,13,16,55
161,"Marcus Morris",5e+06,26,"DET","NBA","SF",80,80,2856,410,945,0.434,108,298,0.362,302,647,0.467,0.491,203,271,0.749,91,313,404,201,67,23,140,170,1131
165,"Derrick Williams",4900000,24,"NYK","NBA","SF",80,9,1435,254,565,0.45,44,150,0.293,210,415,0.506,0.488,194,256,0.758,47,249,296,75,29,9,61,69,746
167,"Otto Porter",4662960,22,"WAS","NBA","SF",75,73,2276,339,717,0.473,98,267,0.367,241,450,0.536,0.541,95,126,0.754,97,294,391,120,105,32,70,163,871
173,"Mike Dunleavy",4500000,35,"CHI","NBA","SF",31,30,703,77,188,0.41,39,99,0.394,38,89,0.427,0.513,29,37,0.784,8,75,83,39,14,10,26,66,222
174,"C.J. Miles",4394225,28,"IND","NBA","SF",64,24,1464,259,634,0.409,142,387,0.367,117,247,0.474,0.521,93,124,0.75,25,150,175,63,53,29,70,142,753
190,"Thabo Sefolosha",4e+06,31,"ATL","NBA","SF",75,11,1758,188,372,0.505,42,124,0.339,146,248,0.589,0.562,62,99,0.626,52,282,334,107,85,37,68,109,480
192,"Harrison Barnes",3873398,23,"GSW","NBA","SF",66,59,2042,295,633,0.466,82,214,0.383,213,419,0.508,0.531,102,134,0.761,77,248,325,117,41,10,57,136,774
199,"Mario Hezonja",3741480,20,"ORL","NBA","SF",79,9,1413,181,418,0.433,67,192,0.349,114,226,0.504,0.513,49,54,0.907,28,148,176,109,39,17,97,124,478
203,"Terrence Ross",3553917,24,"TOR","NBA","SF",73,7,1747,270,626,0.431,131,339,0.386,139,287,0.484,0.536,49,62,0.79,21,164,185,56,54,25,46,120,720
204,"Matt Barnes",3542500,35,"MEM","NBA","SF",76,45,2190,264,693,0.381,119,370,0.322,145,323,0.449,0.467,111,138,0.804,84,336,420,163,78,57,121,234,758
207,"Bojan Bogdanovic",3425510,26,"BRK","NBA","SF",79,39,2115,324,749,0.433,129,338,0.382,195,411,0.474,0.519,110,132,0.833,36,219,255,99,29,5,115,119,887
209,"Paul Pierce",3400000,38,"LAC","NBA","SF",68,38,1231,144,397,0.363,75,242,0.31,69,155,0.445,0.457,54,66,0.818,12,174,186,71,33,17,58,129,417
211,"Quincy Pondexter",3382023,26,"NOP","NBA","SF",45,28,1253,140,312,0.449,74,171,0.433,66,141,0.468,0.567,50,66,0.758,33,105,138,66,14,19,41,103,404
213,"K.J. McDaniels",3333333,22,"HOU","NBA","SF",37,1,235,29,72,0.403,7,25,0.28,22,47,0.468,0.451,24,30,0.8,16,26,42,10,7,6,17,30,89
229,"Omri Casspi",3e+06,27,"SAC","NBA","SF",69,21,1880,299,622,0.481,112,274,0.409,187,348,0.537,0.571,103,159,0.648,58,352,410,95,56,17,94,154,813
231,"Dante Cunningham",3e+06,28,"NOP","NBA","SF",80,46,1971,186,412,0.451,55,174,0.316,131,238,0.55,0.518,57,82,0.695,57,179,236,77,42,33,41,173,484
237,"Maurice Harkless",2894059,22,"POR","NBA","SF",78,14,1457,195,411,0.474,39,140,0.279,156,271,0.576,0.522,69,111,0.622,101,179,280,67,49,35,62,124,498
241,"Mike Miller",2854940,35,"DEN","NBA","SF",46,2,373,22,62,0.355,19,52,0.365,3,10,0.3,0.508,0,0,,6,47,53,40,13,4,17,53,63
244,"Stanley Johnson",2841960,19,"DET","NBA","SF",73,6,1687,225,600,0.375,63,205,0.307,162,395,0.41,0.428,80,102,0.784,58,248,306,118,55,12,114,178,593
247,"Sonny Weems",2800000,29,"PHI","NBA","SF",7,0,78,7,21,0.333,2,9,0.222,5,12,0.417,0.381,1,2,0.5,1,11,12,2,0,0,4,7,17
259,"Justise Winslow",2481720,19,"MIA","NBA","SF",78,8,2232,195,462,0.422,32,116,0.276,163,346,0.471,0.457,80,117,0.684,81,322,403,117,68,26,95,184,502
263,"Doug McDermott",2380440,24,"CHI","NBA","SF",81,4,1861,291,644,0.452,110,259,0.425,181,385,0.47,0.537,72,84,0.857,37,158,195,59,14,6,53,127,764
265,"Evan Fournier",2288205,23,"ORL","NBA","SF",79,71,2566,429,929,0.462,156,390,0.4,273,539,0.506,0.546,199,238,0.836,33,192,225,213,96,2,133,214,1213
269,"Joe Ingles",2250000,28,"UTA","NBA","SF",81,2,1241,124,291,0.426,81,210,0.386,43,81,0.531,0.565,13,18,0.722,19,132,151,96,55,4,65,98,342
274,"Danny Granger",2170465,31,"MIA","NBA","SF",30,6,613,65,162,0.401,30,84,0.357,35,78,0.449,0.494,28,37,0.757,20,60,80,17,13,6,24,67,188
286,"Shabazz Muhammad",2056920,23,"MIN","NBA","SF",82,0,1682,317,681,0.465,44,152,0.289,273,529,0.516,0.498,185,242,0.764,100,167,267,52,24,7,70,94,863
288,"T.J. Warren",2041080,22,"PHO","NBA","SF",47,4,1070,221,441,0.501,28,70,0.4,193,371,0.52,0.533,45,64,0.703,57,90,147,44,37,16,32,94,515
289,"Perry Jones",2038206,23,"OKC","NBA","SF",43,13,631,73,184,0.397,14,60,0.233,59,124,0.476,0.435,24,37,0.649,6,70,76,18,17,8,24,50,184
294,"Kent Bazemore",2e+06,26,"ATL","NBA","SF",75,68,2083,320,725,0.441,109,305,0.357,211,420,0.502,0.517,123,151,0.815,28,351,379,171,98,38,138,176,872
297,"Kelly Oubre",1920240,20,"WAS","NBA","SF",63,9,671,90,211,0.427,25,79,0.316,65,132,0.492,0.486,31,49,0.633,25,108,133,13,22,7,34,100,236
309,"Sam Dekker",1646400,21,"HOU","NBA","SF",3,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,0,0
310,"Sergey Karasev",1599840,22,"BRK","NBA","SF",40,5,399,30,74,0.405,11,37,0.297,19,37,0.514,0.48,26,28,0.929,8,50,58,35,6,2,22,27,97
313,"Tony Snell",1535880,24,"CHI","NBA","SF",64,33,1301,126,339,0.372,56,155,0.361,70,184,0.38,0.454,30,33,0.909,19,180,199,63,16,17,52,100,338
314,"Bruno Caboclo",1524000,20,"TOR","NBA","SF",6,1,43,1,12,0.083,1,7,0.143,0,5,0,0.125,0,0,,1,1,2,1,2,1,4,2,3
319,"Rasual Butler",1499187,36,"SAS","NBA","SF",46,0,432,49,104,0.471,15,49,0.306,34,55,0.618,0.543,11,16,0.688,3,53,56,24,13,23,8,11,124
321,"Caron Butler",1499187,35,"SAC","NBA","SF",17,1,176,25,59,0.424,3,18,0.167,22,41,0.537,0.449,10,12,0.833,5,17,22,10,9,1,3,19,63
324,"Tayshaun Prince",1499187,35,"MIN","NBA","SF",77,44,1462,102,229,0.445,4,23,0.174,98,206,0.476,0.454,13,19,0.684,32,115,147,73,36,13,27,62,221
326,"Metta World Peace",1499187,36,"LAL","NBA","SF",35,5,590,55,177,0.311,26,84,0.31,29,93,0.312,0.384,40,57,0.702,19,70,89,27,22,11,15,67,176
328,"Mike Miller",1499187,35,"DEN","NBA","SF",46,2,373,22,62,0.355,19,52,0.365,3,10,0.3,0.508,0,0,,6,47,53,40,13,4,17,53,63
333,"Richard Jefferson",1499000,35,"CLE","NBA","SF",74,5,1326,143,312,0.458,66,173,0.382,77,139,0.554,0.564,58,87,0.667,15,113,128,59,33,14,43,129,410
334,"James Jones",1499000,35,"CLE","NBA","SF",48,0,463,58,142,0.408,41,104,0.394,17,38,0.447,0.553,21,26,0.808,8,42,50,14,11,10,13,50,178
337,"Justin Anderson",1449000,22,"DAL","NBA","SF",55,9,647,71,175,0.406,22,83,0.265,49,92,0.533,0.469,44,55,0.8,18,114,132,29,19,25,24,45,208
341,"Alonzo Gee",1375000,28,"NOP","NBA","SF",73,38,1632,132,255,0.518,17,60,0.283,115,195,0.59,0.551,44,66,0.667,60,185,245,72,63,13,55,169,325
343,"Solomon Hill",1358880,24,"IND","NBA","SF",59,3,866,93,208,0.447,24,74,0.324,69,134,0.515,0.505,36,42,0.857,39,127,166,57,37,11,33,68,246
347,"Rondae Hollis-Jefferson",1335480,21,"BRK","NBA","SF",29,17,615,63,138,0.457,4,14,0.286,59,124,0.476,0.471,37,52,0.712,39,115,154,43,39,16,26,61,167
355,"Cartier Martin",1270964,30,"DET","NBA","SF",23,0,198,15,53,0.283,6,33,0.182,9,20,0.45,0.34,0,0,,0,20,20,11,3,1,5,20,36
357,"Reggie Bullock",1252440,24,"DET","NBA","SF",37,0,429,43,98,0.439,22,53,0.415,21,45,0.467,0.551,14,15,0.933,14,54,68,27,10,2,8,29,122
361,"P.J. Hairston",1201440,23,"MEM","NBA","SF",18,9,375,46,132,0.348,16,69,0.232,30,63,0.476,0.409,16,22,0.727,7,39,46,9,8,4,17,31,124
371,"Damjan Rudez",1149500,29,"MIN","NBA","SF",33,0,277,25,62,0.403,17,50,0.34,8,12,0.667,0.54,8,8,1,5,15,20,11,3,1,13,33,75
374,"Kyle Anderson",1142879,22,"SAS","NBA","SF",78,11,1245,138,295,0.468,12,37,0.324,126,258,0.488,0.488,62,83,0.747,25,219,244,123,60,29,59,97,350
378,"Garrett Temple",1100602,29,"WAS","NBA","SF",80,43,1951,201,505,0.398,89,258,0.345,112,247,0.453,0.486,91,125,0.728,36,176,212,140,69,18,64,195,582
380,"Jeremy Evans",1100602,28,"DAL","NBA","SF",30,2,251,26,48,0.542,4,16,0.25,22,32,0.688,0.583,15,21,0.714,11,43,54,2,6,9,7,19,71
381,"Wesley Johnson",1100600,28,"LAC","NBA","SF",80,9,1666,208,515,0.404,103,309,0.333,105,206,0.51,0.504,30,46,0.652,37,211,248,49,89,56,54,173,549
384,"Luke Babbitt",1100000,26,"NOP","NBA","SF",47,13,845,122,289,0.422,44,109,0.404,78,180,0.433,0.498,39,50,0.78,25,123,148,53,11,7,23,90,327
392,"Robert Covington",1e+06,25,"PHI","NBA","SF",67,49,1903,274,712,0.385,170,482,0.353,104,230,0.452,0.504,140,177,0.791,65,354,419,97,105,40,143,232,858
397,"Chris Johnson",981348,25,"UTA","NBA","SF",70,2,857,72,194,0.371,27,99,0.273,45,95,0.474,0.441,34,42,0.81,27,105,132,45,32,20,40,100,205
421,"Damien Inglis",855000,20,"MIL","NBA","SF",20,1,156,13,37,0.351,3,13,0.231,10,24,0.417,0.392,7,8,0.875,2,29,31,10,6,3,11,11,36
424,"JaKarr Sampson",845059,22,"DEN","NBA","SF",26,22,469,54,115,0.47,8,29,0.276,46,86,0.535,0.504,18,25,0.72,16,45,61,16,12,17,19,51,134
425,"Jerami Grant",845059,21,"PHI","NBA","SF",77,52,2066,251,599,0.419,35,146,0.24,216,453,0.477,0.448,212,322,0.658,99,262,361,135,54,127,110,215,749
428,"Cleanthony Early",845059,24,"NYK","NBA","SF",17,2,154,12,40,0.3,4,15,0.267,8,25,0.32,0.35,3,4,0.75,4,22,26,6,2,3,9,16,31
433,"James Ennis",845059,25,"NOP","NBA","SF",9,5,282,50,100,0.5,24,50,0.48,26,50,0.52,0.62,19,24,0.792,17,18,35,18,12,3,17,26,143
445,"Glenn Robinson",845000,22,"IND","NBA","SF",45,4,508,65,151,0.43,14,37,0.378,51,114,0.447,0.477,27,39,0.692,12,56,68,26,17,9,18,21,171
447,"Anthony Brown",7e+05,23,"LAL","NBA","SF",29,11,599,39,126,0.31,20,70,0.286,19,56,0.339,0.389,17,20,0.85,9,61,70,19,14,5,15,34,115
449,"Carlos Delfino",650000,30,"HOU","NBA","SF",67,5,1689,251,620,0.405,158,421,0.375,93,199,0.467,0.532,48,56,0.857,18,202,220,135,68,9,72,114,708
451,"Jarell Eddie",561716,24,"WAS","NBA","SF",26,0,147,20,65,0.308,15,47,0.319,5,18,0.278,0.423,8,8,1,2,21,23,5,5,1,1,5,63
454,"Duje Dukan",525093,24,"SAC","NBA","SF",1,0,24,2,10,0.2,2,5,0.4,0,5,0,0.3,0,0,,2,2,4,1,1,0,0,2,6
471,"Joe Johnson",414481,34,"MIA","NBA","SF",24,24,769,130,251,0.518,35,84,0.417,95,167,0.569,0.588,26,34,0.765,15,53,68,86,21,2,43,46,321
478,"Kostas Papanikolaou",350000,25,"DEN","NBA","SF",26,6,294,24,66,0.364,10,32,0.313,14,34,0.412,0.439,9,14,0.643,8,32,40,16,13,5,21,24,67
483,"Michael Beasley",306527,27,"HOU","NBA","SF",20,0,363,107,205,0.522,3,9,0.333,104,196,0.531,0.529,38,49,0.776,29,69,98,16,11,9,24,39,255
485,"JaKarr Sampson",285489,22,"DEN","NBA","SF",26,22,469,54,115,0.47,8,29,0.276,46,86,0.535,0.504,18,25,0.72,16,45,61,16,12,17,19,51,134
487,"Chase Budinger",258082,27,"PHO","NBA","SF",17,0,200,23,45,0.511,4,17,0.235,19,28,0.679,0.556,5,8,0.625,12,17,29,15,3,1,13,16,55
524,"J.J. O'Brien",75000,23,"UTA","NBA","SF",2,0,6,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,1,0,0,1,0
527,"Thanasis Antetokounmpo",75000,23,"NYK","NBA","SF",2,0,6,3,4,0.75,0,1,0,3,3,1,0.75,0,0,,0,1,1,0,0,0,0,2,6
538,"Axel Toupane",61776,23,"DEN","NBA","SF",21,0,305,25,70,0.357,13,40,0.325,12,30,0.4,0.45,13,17,0.765,8,23,31,15,7,6,6,40,76
539,"Axel Toupane",61776,23,"DEN","NBA","SF",21,0,305,25,70,0.357,13,40,0.325,12,30,0.4,0.45,13,17,0.765,8,23,31,15,7,6,6,40,76
540,"Coty Clarke",61776,23,"BOS","NBA","SF",3,0,6,2,4,0.5,2,2,1,0,2,0,0.75,0,0,,0,1,1,0,0,0,1,0,6
543,"Jordan Hamilton",59731,25,"NOP","NBA","SF",11,4,304,49,116,0.422,13,45,0.289,36,71,0.507,0.478,14,21,0.667,12,50,62,25,8,3,17,24,125
544,"Jordan Hamilton",59731,25,"NOP","NBA","SF",11,4,304,49,116,0.422,13,45,0.289,36,71,0.507,0.478,14,21,0.667,12,50,62,25,8,3,17,24,125
560,"James Ennis",49709,25,"NOP","NBA","SF",9,5,282,50,100,0.5,24,50,0.48,26,50,0.52,0.62,19,24,0.792,17,18,35,18,12,3,17,26,143
566,"J.J. O'Brien",30888,23,"UTA","NBA","SF",2,0,6,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,1,0,0,1,0
568,"Thanasis Antetokounmpo",30888,23,"NYK","NBA","SF",2,0,6,3,4,0.75,0,1,0,3,3,1,0.75,0,0,,0,1,1,0,0,0,0,2,6
574,"Axel Toupane",25000,23,"DEN","NBA","SF",21,0,305,25,70,0.357,13,40,0.325,12,30,0.4,0.45,13,17,0.765,8,23,31,15,7,6,6,40,76
580,"Dorell Wright",17637,29,"POR","NBA","SF",48,2,592,72,190,0.379,41,108,0.38,31,82,0.378,0.487,34,42,0.81,14,97,111,41,20,11,18,55,219
584,"Dahntay Jones",8819,35,"CLE","NBA","SF",1,0,42,6,14,0.429,1,2,0.5,5,12,0.417,0.464,0,0,,1,4,5,2,1,2,0,6,13
